data_venda,categoria_produto,tamanho,preco,quantidade,estado,forma_pagamento,nota_avaliacao
2024-04-16,Camisetas,P,93.13,1,SP,Pix,4.0
2024-04-16,Acessórios,G,53.77,2,SP,Pix,4.4
2024-04-16,Calças,M,206.28,1,GO,Cartão,4.2
2024-04-16,Acessórios,GG,20.53,3,RJ,Pix,4.0
2024-04-17,Camisetas,G,69.22,1,RJ,Cartão,3.6
2024-04-17,Calças,P,98.07,3,BA,Cartão,5.0
2024-04-17,Camisetas,G,59.14,3,BA,Pix,4.0
2024-04-19,Calças,M,131.24,3,MG,Cartão,3.6
2024-04-20,Calçados,GG,369.36,1,SP,Cartão,4.8
2024-04-20,Calçados,M,170.34,2,PR,Cartão,2.2
2024-04-21,Vestidos,G,169.77,1,SP,Cartão,2.5
2024-04-21,Calçados,M,350.53,1,MG,Pix,4.9
2024-04-21,Calçados,M,395.12,2,RJ,Cartão,3.7
2024-04-21,Vestidos,M,341.68,1,PE,Pix,5.0
2024-04-21,Camisetas,P,95.53,2,CE,Cartão,3.9
2024-04-22,Camisetas,P,67.89,3,SC,Cartão,4.2
2024-04-22,Vestidos,M,132.17,2,SP,Boleto,4.0
2024-04-23,Camisetas,P,116.63,2,MG,Cartão,3.5
2024-04-23,Calças,M,100.39,3,GO,Cartão,4.3
2024-04-23,Vestidos,P,236.83,3,RJ,Pix,3.4
2024-04-24,Calças,P,148.01,2,GO,Boleto,4.3
2024-04-24,Acessórios,M,148.97,2,SP,Cartão,4.4
2024-04-24,Camisetas,G,92.25,1,CE,Pix,5.0
2024-04-25,Camisetas,P,78.26,1,RS,Pix,4.5
2024-04-25,Calças,G,244.52,3,MG,Pix,4.2
2024-04-25,Vestidos,G,186.98,2,RS,Pix,2.8
2024-04-26,Camisetas,M,104.12,3,SP,Boleto,4.1
2024-04-27,Calçados,G,394.28,2,RJ,Cartão,4.1
2024-04-28,Camisetas,M,64.79,3,MG,Cartão,2.5
2024-05-01,Calças,M,225.62,2,CE,Cartão,3.2
2024-05-01,Vestidos,M,275.68,1,MG,Pix,3.8
2024-05-01,Calçados,P,241.01,1,SP,Pix,3.3
2024-05-01,Calças,M,201.57,3,BA,Pix,4.4
2024-05-02,Vestidos,G,244.48,1,RJ,Boleto,3.3
2024-05-02,Calças,P,154.55,2,MG,Pix,5.0
2024-05-02,Calçados,M,233.37,2,BA,Cartão,3.7
2024-05-03,Camisetas,P,56.05,2,RJ,Pix,3.3
2024-05-03,Camisetas,M,62.54,2,RJ,Cartão,3.9
2024-05-03,Calçados,P,121.79,3,SP,Cartão,4.2
2024-05-03,Acessórios,M,55.87,3,PR,Pix,3.7
2024-05-03,Vestidos,G,288.66,2,RJ,Cartão,3.3
2024-05-04,Vestidos,M,290.78,2,RS,Cartão,4.8
2024-05-04,Calçados,M,274.59,1,RJ,Pix,4.6
2024-05-05,Calças,G,109.85,3,PR,Pix,3.5
2024-05-05,Vestidos,P,231.58,2,BA,Pix,4.5
2024-05-05,Calças,P,229.23,2,RJ,Cartão,3.7
2024-05-05,Calçados,M,401.21,1,RJ,Pix,2.8
2024-05-05,Calçados,G,229.15,3,RJ,Pix,4.4
2024-05-06,Calçados,M,426.54,3,CE,Boleto,2.6
2024-05-06,Calças,G,109.3,1,SP,Cartão,4.5
2024-05-06,Vestidos,GG,277.04,2,SP,Cartão,5.0
2024-05-06,Calçados,G,429.53,2,PE,Cartão,4.4
2024-05-06,Vestidos,M,390.39,3,SP,Pix,3.2
2024-05-07,Vestidos,P,102.93,2,RJ,Cartão,3.9
2024-05-07,Acessórios,M,58.7,2,SP,Cartão,4.5
2024-05-07,Vestidos,G,273.12,3,MG,Pix,3.2
2024-05-07,Vestidos,M,206.07,2,RJ,Boleto,3.1
2024-05-08,Calças,M,89.3,2,SP,Cartão,4.5
2024-05-08,Calçados,G,388.28,2,SP,Pix,3.8
2024-05-08,Vestidos,M,300.55,2,RJ,Pix,4.4
2024-05-09,Camisetas,G,77.24,2,SP,Cartão,4.5
2024-05-09,Camisetas,M,77.22,3,BA,Cartão,4.0
2024-05-09,Acessórios,P,85.24,2,SP,Cartão,3.1
2024-05-09,Acessórios,P,58.08,2,MG,Pix,3.9
2024-05-09,Calças,M,157.22,2,PR,Cartão,4.4
2024-05-10,Vestidos,M,311.61,3,RJ,Cartão,4.6
2024-05-10,Camisetas,P,90.89,3,PE,Pix,3.4
2024-05-10,Calçados,M,352.19,2,CE,Boleto,2.3
2024-05-10,Acessórios,P,35.0,2,RS,Boleto,3.7
2024-05-12,Calças,P,213.91,1,RJ,Pix,3.6
2024-05-12,Acessórios,G,44.86,2,RS,Pix,4.7
2024-05-12,Vestidos,G,303.64,2,BA,Pix,4.6
2024-05-12,Camisetas,M,114.93,1,SC,Cartão,4.6
2024-05-12,Calçados,G,271.15,1,SP,Pix,4.8
2024-05-12,Vestidos,M,258.25,2,BA,Pix,3.3
2024-05-12,Calças,M,109.88,3,CE,Cartão,4.2
2024-05-13,Vestidos,G,193.82,3,BA,Boleto,3.6
2024-05-13,Calças,M,249.08,1,PR,Cartão,4.0
2024-05-13,Vestidos,G,289.13,2,RJ,Pix,4.4
2024-05-13,Acessórios,M,22.01,1,SP,Pix,3.8
2024-05-14,Vestidos,M,231.6,2,SC,Boleto,3.5
2024-05-14,Vestidos,P,391.89,1,SC,Cartão,4.5
2024-05-14,Calças,M,241.47,2,SP,Cartão,3.7
2024-05-15,Calças,M,92.24,1,CE,Boleto,4.0
2024-05-15,Calçados,M,370.75,1,RJ,Cartão,4.7
2024-05-15,Acessórios,M,115.82,1,BA,Boleto,4.2
2024-05-15,Camisetas,M,108.24,2,GO,Pix,4.3
2024-05-15,Calçados,G,132.52,1,RS,Pix,3.9
2024-05-16,Calças,P,163.42,2,RJ,Pix,3.2
2024-05-16,Camisetas,M,50.44,1,MG,Pix,3.8
2024-05-16,Calçados,M,149.76,2,PE,Pix,3.3
2024-05-17,Vestidos,G,391.79,2,BA,Pix,3.8
2024-05-17,Camisetas,P,66.29,1,GO,Cartão,2.9
2024-05-17,Calçados,P,252.64,1,MG,Cartão,3.8
2024-05-18,Vestidos,M,156.52,2,RJ,Cartão,2.9
2024-05-18,Calçados,M,426.94,1,PE,Pix,4.7
2024-05-18,Calçados,G,146.64,1,RS,Pix,3.3
2024-05-19,Vestidos,G,203.83,3,PE,Pix,4.0
2024-05-19,Camisetas,P,100.19,2,MG,Cartão,4.7
2024-05-21,Camisetas,P,114.65,2,CE,Pix,4.8
2024-05-21,Vestidos,G,282.31,2,SC,Pix,4.3
2024-05-22,Camisetas,M,92.49,1,RS,Boleto,3.8
2024-05-23,Camisetas,G,61.12,3,MG,Pix,4.2
2024-05-23,Camisetas,G,101.17,3,RS,Cartão,4.5
2024-05-24,Calças,M,101.86,3,GO,Cartão,4.6
2024-05-24,Camisetas,M,77.52,1,PR,Boleto,4.1
2024-05-24,Calças,M,228.01,3,SP,Boleto,5.0
2024-05-24,Acessórios,P,87.83,1,SP,Boleto,5.0
2024-05-25,Camisetas,G,47.89,1,GO,Cartão,4.7
2024-05-26,Camisetas,P,80.91,1,SP,Pix,4.3
2024-05-26,Calças,M,146.31,3,SP,Pix,4.4
2024-05-27,Acessórios,G,29.06,3,SP,Pix,3.3
2024-05-27,Acessórios,G,53.17,3,RJ,Pix,5.0
2024-05-27,Acessórios,M,115.46,2,RJ,Pix,3.9
2024-05-27,Calçados,G,242.53,1,SC,Cartão,4.5
2024-05-27,Acessórios,GG,50.41,2,GO,Pix,4.2
2024-05-27,Calçados,GG,150.43,2,RS,Pix,4.6
2024-05-28,Calças,M,198.3,3,PE,Boleto,5.0
2024-05-28,Vestidos,M,342.83,2,BA,Pix,2.6
2024-05-28,Calças,M,205.62,2,MG,Cartão,2.6
2024-06-01,Camisetas,G,56.96,2,PR,Pix,3.7
2024-06-01,Acessórios,G,57.04,1,SP,Pix,4.4
2024-06-01,Camisetas,M,80.73,3,BA,Cartão,3.4
2024-06-02,Calças,M,148.76,3,SP,Cartão,3.5
2024-06-04,Calças,G,230.76,3,MG,Pix,3.5
2024-06-05,Camisetas,M,79.66,2,PE,Pix,2.8
2024-06-05,Calças,G,168.11,1,SP,Pix,4.2
2024-06-06,Camisetas,M,52.68,2,SP,Cartão,3.7
2024-06-06,Calçados,M,160.82,2,SP,Pix,3.4
2024-06-07,Camisetas,M,48.09,3,CE,Cartão,5.0
2024-06-08,Vestidos,M,104.02,3,PR,Pix,3.3
2024-06-09,Calças,GG,174.64,1,SP,Pix,3.3
2024-06-10,Camisetas,P,107.0,1,SP,Cartão,3.5
2024-06-10,Acessórios,G,134.53,3,BA,Cartão,3.8
2024-06-11,Calças,G,238.98,1,SC,Pix,3.4
2024-06-11,Calçados,M,499.33,1,GO,Cartão,3.6
2024-06-12,Calçados,G,301.91,2,SP,Cartão,3.9
2024-06-12,Acessórios,P,73.86,2,RJ,Boleto,4.3
2024-06-12,Calças,G,97.22,1,RS,Cartão,4.2
2024-06-12,Calças,M,108.35,3,SC,Cartão,3.0
2024-06-13,Camisetas,P,94.04,1,SP,Pix,3.3
2024-06-14,Camisetas,M,60.38,2,RJ,Cartão,4.7
2024-06-14,Calçados,M,368.81,1,PE,Pix,4.5
2024-06-14,Calças,P,220.22,3,BA,Pix,3.7
2024-06-15,Vestidos,P,285.68,2,CE,Boleto,4.1
2024-06-15,Camisetas,M,95.07,3,SP,Pix,3.8
2024-06-16,Vestidos,M,179.53,2,PR,Cartão,4.0
2024-06-16,Calças,G,232.13,3,SP,Cartão,4.2
2024-06-16,Calçados,G,414.22,1,RS,Pix,3.2
2024-06-17,Calçados,P,403.19,1,RS,Pix,3.8
2024-06-17,Calçados,M,243.39,3,SP,Cartão,4.4
2024-06-18,Camisetas,P,106.35,3,BA,Cartão,5.0
2024-06-18,Vestidos,P,392.02,2,SP,Cartão,4.2
2024-06-18,Camisetas,GG,79.86,3,RJ,Boleto,5.0
2024-06-18,Acessórios,P,20.38,2,SP,Pix,4.3
2024-06-19,Vestidos,M,295.78,3,SC,Cartão,3.0
2024-06-19,Acessórios,P,109.47,2,SP,Boleto,2.8
2024-06-19,Calças,M,230.72,3,MG,Pix,2.8
2024-06-22,Calças,M,204.56,1,MG,Cartão,3.9
2024-06-23,Calçados,G,278.32,3,SP,Pix,4.7
2024-06-24,Vestidos,G,388.66,1,PR,Pix,3.7
2024-06-24,Camisetas,G,85.69,1,MG,Cartão,4.7
2024-06-25,Acessórios,G,115.71,1,SP,Boleto,4.4
2024-06-26,Acessórios,M,67.82,2,SP,Cartão,5.0
2024-06-26,Camisetas,GG,92.75,3,SP,Cartão,3.9
2024-06-26,Camisetas,G,45.7,1,RS,Boleto,4.3
2024-06-27,Camisetas,G,74.53,2,CE,Boleto,5.0
2024-06-27,Calças,P,102.45,1,RS,Cartão,5.0
2024-06-27,Calças,M,214.3,2,BA,Pix,3.0
2024-06-27,Camisetas,M,113.21,1,MG,Cartão,2.8
2024-06-27,Calçados,P,198.98,2,SC,Cartão,4.5
2024-06-27,Acessórios,M,104.3,2,SP,Pix,4.1
2024-06-28,Camisetas,GG,96.87,1,SP,Pix,5.0
2024-07-01,Acessórios,G,52.63,1,SP,Cartão,3.4
2024-07-04,Calças,P,89.27,2,SP,Cartão,3.5
2024-07-05,Calças,G,249.46,1,MG,Boleto,4.6
2024-07-05,Acessórios,G,58.03,3,RJ,Pix,4.2
2024-07-06,Camisetas,M,101.12,3,SP,Pix,3.3
2024-07-07,Calças,M,219.48,2,SP,Cartão,4.3
2024-07-07,Vestidos,M,245.69,2,MG,Pix,3.4
2024-07-08,Calçados,M,399.48,3,SP,Pix,3.8
2024-07-09,Vestidos,G,213.7,1,SP,Cartão,4.2
2024-07-10,Calças,P,160.34,2,MG,Boleto,3.9
2024-07-11,Calças,G,200.5,2,SP,Cartão,4.5
2024-07-12,Calças,M,133.52,2,RS,Boleto,4.8
2024-07-13,Camisetas,P,78.24,3,MG,Cartão,3.4
2024-07-13,Vestidos,GG,101.62,3,SP,Pix,4.5
2024-07-14,Camisetas,P,62.64,3,BA,Pix,3.0
2024-07-16,Camisetas,P,79.35,1,SP,Cartão,3.7
2024-07-17,Calçados,P,340.33,2,RJ,Pix,4.5
2024-07-17,Vestidos,M,280.73,1,PE,Pix,3.9
2024-07-18,Camisetas,P,70.89,2,BA,Cartão,4.3
2024-07-19,Calças,G,171.03,1,MG,Pix,5.0
2024-07-19,Vestidos,M,209.0,3,SP,Cartão,4.0
2024-07-20,Vestidos,P,152.26,2,PR,Cartão,3.8
2024-07-21,Calças,P,249.69,2,SC,Pix,3.7
2024-07-22,Calças,GG,128.09,1,PE,Pix,3.8
2024-07-23,Calças,P,169.77,1,RS,Cartão,3.9
2024-07-24,Camisetas,P,80.93,3,SP,Boleto,2.9
2024-07-26,Calças,M,243.3,2,MG,Pix,3.6
2024-07-26,Acessórios,G,48.38,2,GO,Boleto,3.9
2024-07-26,Calçados,M,223.66,1,GO,Boleto,5.0
2024-07-26,Acessórios,P,86.13,3,SP,Cartão,3.7
2024-07-27,Calçados,G,248.37,3,RS,Pix,3.7
2024-07-27,Calças,M,133.16,3,SP,Pix,4.2
2024-07-28,Camisetas,M,102.93,3,SC,Cartão,5.0
2024-07-28,Camisetas,G,40.39,1,CE,Cartão,2.8
2024-08-01,Acessórios,G,132.19,1,SP,Cartão,2.9
2024-08-03,Camisetas,GG,85.19,1,SP,Cartão,4.0
2024-08-03,Calças,M,208.72,1,SP,Boleto,3.5
2024-08-04,Vestidos,GG,235.69,2,CE,Pix,4.4
2024-08-04,Calças,M,95.83,1,SC,Pix,3.5
2024-08-05,Vestidos,P,229.58,3,PR,Boleto,5.0
2024-08-07,Calçados,M,463.89,1,MG,Boleto,3.8
2024-08-07,Acessórios,G,121.61,1,SP,Pix,4.9
2024-08-07,Calçados,GG,273.02,3,CE,Pix,4.5
2024-08-07,Vestidos,P,210.61,1,RJ,Pix,4.0
2024-08-07,Camisetas,P,113.16,2,RJ,Pix,2.9
2024-08-08,Acessórios,G,60.43,1,SC,Cartão,4.3
2024-08-09,Acessórios,M,121.34,3,MG,Pix,3.5
2024-08-09,Calçados,P,338.53,2,BA,Cartão,4.1
2024-08-10,Calças,P,200.55,2,RJ,Cartão,4.0
2024-08-10,Acessórios,M,90.72,2,PE,Boleto,4.9
2024-08-10,Acessórios,M,98.24,2,RS,Cartão,2.7
2024-08-11,Camisetas,G,68.22,1,RS,Pix,2.8
2024-08-12,Calçados,M,330.4,3,PE,Pix,4.8
2024-08-13,Acessórios,G,40.75,1,GO,Cartão,4.8
2024-08-13,Vestidos,M,288.74,1,PE,Cartão,3.3
2024-08-13,Vestidos,G,206.92,2,SP,Cartão,2.7
2024-08-14,Vestidos,P,316.34,1,SP,Pix,3.3
2024-08-15,Camisetas,P,113.36,2,RJ,Pix,4.5
2024-08-16,Camisetas,M,48.41,3,SP,Cartão,2.8
2024-08-16,Vestidos,M,119.28,3,RJ,Cartão,3.4
2024-08-17,Acessórios,M,72.16,3,MG,Pix,4.7
2024-08-17,Calças,M,180.18,2,RJ,Cartão,3.3
2024-08-18,Acessórios,P,84.94,3,SP,Boleto,5.0
2024-08-18,Calças,G,158.8,1,PE,Pix,3.9
2024-08-18,Calças,M,189.27,3,MG,Boleto,4.8
2024-08-18,Vestidos,M,358.56,3,SP,Boleto,3.8
2024-08-19,Camisetas,M,80.68,2,MG,Cartão,5.0
2024-08-19,Calças,P,225.29,1,SP,Cartão,4.6
2024-08-20,Vestidos,M,275.18,2,RS,Pix,4.4
2024-08-20,Camisetas,G,78.63,3,RJ,Boleto,3.2
2024-08-22,Vestidos,M,197.73,2,SC,Cartão,5.0
2024-08-22,Camisetas,M,87.3,2,PR,Pix,3.7
2024-08-23,Calças,G,148.68,2,PE,Pix,3.2
2024-08-24,Calças,M,182.58,3,SP,Boleto,4.0
2024-08-24,Vestidos,P,149.08,2,SC,Pix,4.9
2024-08-25,Acessórios,G,56.89,2,SP,Cartão,4.1
2024-08-26,Calças,M,199.08,1,RJ,Cartão,3.9
2024-08-27,Vestidos,G,176.4,1,RJ,Cartão,3.1
2024-08-27,Calçados,M,463.27,3,SC,Boleto,4.2
2024-08-28,Vestidos,GG,115.14,1,PE,Pix,3.9
2024-08-28,Acessórios,M,83.11,2,RS,Cartão,4.2
2024-08-28,Vestidos,M,234.39,2,GO,Pix,4.6
2024-08-28,Acessórios,P,92.27,2,RJ,Cartão,3.8
2024-09-01,Calçados,M,446.22,2,RJ,Pix,3.8
2024-09-02,Acessórios,G,116.95,3,PR,Cartão,3.7
2024-09-02,Calçados,P,124.1,2,RJ,Cartão,4.2
2024-09-03,Calças,G,230.93,3,PE,Pix,3.6
2024-09-03,Vestidos,GG,106.73,2,SP,Cartão,2.7
2024-09-04,Camisetas,G,83.95,3,SP,Pix,4.7
2024-09-05,Vestidos,M,103.4,2,BA,Cartão,3.7
2024-09-05,Vestidos,G,276.2,1,SP,Cartão,4.4
2024-09-05,Camisetas,M,43.71,1,SP,Cartão,3.6
2024-09-06,Camisetas,P,95.2,3,RS,Boleto,4.9
2024-09-06,Calças,M,101.24,1,SP,Pix,3.0
2024-09-06,Calçados,GG,184.27,1,BA,Pix,3.4
2024-09-06,Camisetas,M,114.57,3,CE,Cartão,3.5
2024-09-07,Camisetas,GG,97.34,1,PR,Boleto,5.0
2024-09-07,Calçados,G,244.22,3,SC,Cartão,4.5
2024-09-08,Vestidos,P,238.02,1,SP,Cartão,5.0
2024-09-08,Camisetas,G,84.39,1,MG,Cartão,4.1
2024-09-08,Calças,P,238.0,2,MG,Boleto,4.3
2024-09-10,Calças,M,199.71,2,SP,Cartão,3.8
2024-09-11,Camisetas,M,109.83,3,SC,Pix,5.0
2024-09-13,Calças,GG,247.44,1,RS,Cartão,5.0
2024-09-14,Camisetas,M,108.34,3,RJ,Cartão,3.3
2024-09-14,Camisetas,P,116.95,1,RJ,Pix,3.0
2024-09-15,Acessórios,M,136.45,2,SP,Pix,4.4
2024-09-16,Vestidos,M,341.45,1,RS,Cartão,5.0
2024-09-16,Vestidos,GG,398.85,1,RS,Boleto,3.9
