,data_pedido,categoria,preco_unitario,quantidade,regiao,canal_marketing,avaliacao,faturamento
25,2024-01-16,Acessórios,66.9,1,Centro-Oeste,Orgânico,2.9,66.9
26,2024-01-17,Acessórios,205.83,5,Sul,Google Ads,5.0,1029.15
27,2024-01-18,Áudio,1447.78,1,Sul,Google Ads,5.0,1447.78
28,2024-01-18,Smartphones,2256.03,1,Nordeste,E-mail,4.6,2256.03
29,2024-01-19,Acessórios,64.6,1,Nordeste,Orgânico,3.1,64.6
30,2024-01-20,Acessórios,193.21,4,Centro-Oeste,Orgânico,2.9,772.84
31,2024-01-21,Áudio,1213.41,1,Norte,Instagram,4.4,1213.41
32,2024-01-21,Notebooks,3493.16,1,Sudeste,Google Ads,4.0,3493.16
33,2024-01-22,Smartphones,3355.79,2,Sudeste,E-mail,4.6,6711.58
34,2024-01-22,Notebooks,2785.84,2,Sudeste,Instagram,4.6,5571.68
35,2024-01-22,Acessórios,115.67,1,Sudeste,Google Ads,4.5,115.67
36,2024-01-22,Áudio,1193.31,4,Sul,Instagram,4.3,4773.24
37,2024-01-23,Smartphones,3545.19,1,Norte,E-mail,4.4,3545.19
38,2024-01-23,Acessórios,224.58,4,Centro-Oeste,Orgânico,3.4,898.32
39,2024-01-24,Acessórios,163.42,5,Sudeste,Google Ads,3.7,817.0999999999999
40,2024-01-24,Acessórios,202.25,4,Sudeste,Orgânico,3.8,809.0
41,2024-01-24,Áudio,942.53,2,Centro-Oeste,Google Ads,4.2,1885.06
42,2024-01-25,Smartphones,2632.27,2,Sudeste,Orgânico,4.4,5264.54
43,2024-01-26,Áudio,465.51,5,Sul,Google Ads,5.0,2327.55
44,2024-01-26,Áudio,903.06,2,Sul,Google Ads,3.8,1806.12
45,2024-01-26,Smartphones,3079.03,1,Nordeste,Google Ads,4.0,3079.03
46,2024-01-27,Acessórios,38.86,2,Nordeste,Instagram,3.8,77.72
47,2024-01-27,Notebooks,4493.17,1,Nordeste,Instagram,4.8,4493.17
48,2024-01-27,Áudio,1436.08,1,Sul,Orgânico,4.5,1436.08
49,2024-01-27,Acessórios,212.06,4,Norte,Instagram,5.0,848.24
50,2024-01-28,Smartphones,3436.51,1,Sudeste,Google Ads,2.5,3436.51
51,2024-01-28,Smartphones,2188.89,1,Norte,Orgânico,5.0,2188.89
52,2024-02-01,TVs,1636.74,2,Sudeste,E-mail,3.7,3273.48
53,2024-02-02,Notebooks,5982.54,2,Sudeste,Orgânico,4.0,11965.08
54,2024-02-02,Notebooks,5639.97,1,Sudeste,Orgânico,3.9,5639.97
55,2024-02-03,Acessórios,168.48,2,Sudeste,Instagram,4.1,336.96
56,2024-02-03,Acessórios,77.73,3,Centro-Oeste,Orgânico,5.0,233.19
57,2024-02-03,TVs,5401.64,2,Nordeste,Google Ads,4.0,10803.28
58,2024-02-03,Áudio,354.62,4,Sudeste,Orgânico,4.3,1418.48
59,2024-02-03,TVs,4183.21,1,Sudeste,Google Ads,4.7,4183.21
60,2024-02-04,Acessórios,135.79,1,Nordeste,Orgânico,4.0,135.79
61,2024-02-04,Smartphones,4830.99,1,Sudeste,Instagram,5.0,4830.99
62,2024-02-06,Notebooks,5108.18,2,Nordeste,Google Ads,4.8,10216.36
63,2024-02-06,Smartphones,2641.36,1,Sudeste,Google Ads,4.6,2641.36
64,2024-02-06,Notebooks,5706.73,2,Nordeste,Google Ads,4.7,11413.46
65,2024-02-09,Notebooks,2528.3,2,Sul,Google Ads,4.4,5056.6
66,2024-02-09,Acessórios,268.85,1,Nordeste,Instagram,3.7,268.85
67,2024-02-09,Smartphones,2842.51,2,Sul,Orgânico,4.9,5685.02
68,2024-02-09,TVs,5162.87,1,Nordeste,Instagram,4.5,5162.87
69,2024-02-10,Acessórios,67.73,2,Nordeste,Google Ads,5.0,135.46
70,2024-02-11,Acessórios,280.29,4,Centro-Oeste,Google Ads,3.4,1121.16
71,2024-02-13,Acessórios,46.04,4,Sul,Orgânico,3.3,184.16
72,2024-02-14,Áudio,1187.17,1,Sul,Orgânico,4.9,1187.17
73,2024-02-14,Smartphones,4081.31,2,Sudeste,Orgânico,4.5,8162.62
74,2024-02-15,Acessórios,36.87,5,Sudeste,E-mail,4.7,184.35
75,2024-02-15,Smartphones,1825.88,1,Sudeste,Orgânico,4.9,1825.88
76,2024-02-15,Acessórios,35.72,3,Sudeste,Google Ads,4.2,107.16
77,2024-02-16,Notebooks,7798.67,1,Centro-Oeste,Instagram,4.3,7798.67
78,2024-02-16,Smartphones,4082.02,2,Centro-Oeste,Google Ads,4.3,8164.04
79,2024-02-17,Acessórios,297.64,4,Sul,Orgânico,3.9,1190.56
80,2024-02-17,TVs,1732.18,2,Centro-Oeste,Google Ads,4.2,3464.36
81,2024-02-18,Smartphones,1615.98,1,Centro-Oeste,Instagram,3.5,1615.98
82,2024-02-18,Notebooks,3057.81,1,Sul,Orgânico,3.9,3057.81
83,2024-02-19,Acessórios,194.6,2,Sudeste,Instagram,3.6,389.2
84,2024-02-19,Áudio,1160.06,4,Centro-Oeste,E-mail,3.6,4640.24
85,2024-02-20,Áudio,1384.46,2,Sudeste,Orgânico,4.2,2768.92
86,2024-02-20,Áudio,1079.34,2,Nordeste,Instagram,4.6,2158.68
87,2024-02-21,Áudio,178.28,4,Nordeste,Google Ads,3.7,713.12
88,2024-02-23,Áudio,1492.09,2,Sul,Google Ads,4.9,2984.18
89,2024-02-24,TVs,5629.89,2,Centro-Oeste,Google Ads,4.3,11259.78
90,2024-02-24,TVs,4477.35,1,Sul,E-mail,5.0,4477.35
91,2024-02-25,Áudio,307.09,2,Sudeste,Google Ads,5.0,614.18
92,2024-02-25,Acessórios,250.02,3,Norte,E-mail,5.0,750.0600000000001
93,2024-02-27,Acessórios,202.4,2,Sudeste,Instagram,5.0,404.8
94,2024-02-27,Áudio,902.36,4,Nordeste,Google Ads,5.0,3609.44
95,2024-02-27,Notebooks,2639.62,2,Sudeste,Google Ads,4.3,5279.24
96,2024-02-28,Áudio,160.21,5,Sudeste,Orgânico,3.5,801.0500000000001
97,2024-02-28,TVs,4924.63,2,Centro-Oeste,Instagram,3.2,9849.26
98,2024-03-01,Áudio,1336.81,3,Sudeste,Instagram,5.0,4010.43
99,2024-03-01,Smartphones,4311.09,2,Sudeste,Orgânico,3.6,8622.18
100,2024-03-01,Smartphones,1768.41,1,Sudeste,E-mail,3.4,1768.41
101,2024-03-01,Áudio,1357.55,5,Sul,Instagram,3.2,6787.75
102,2024-03-02,Smartphones,1705.95,2,Sudeste,Google Ads,5.0,3411.9
103,2024-03-03,TVs,5067.84,2,Sudeste,Google Ads,4.9,10135.68
104,2024-03-04,Smartphones,1354.87,2,Sudeste,Instagram,4.0,2709.74
105,2024-03-04,Acessórios,91.83,3,Nordeste,Google Ads,4.3,275.49
106,2024-03-04,Acessórios,72.17,1,Nordeste,Google Ads,3.5,72.17
107,2024-03-05,TVs,1894.39,1,Centro-Oeste,Instagram,4.7,1894.39
108,2024-03-05,Notebooks,7275.49,2,Centro-Oeste,Orgânico,4.8,14550.98
109,2024-03-06,Acessórios,75.87,3,Sudeste,Instagram,5.0,227.61
110,2024-03-06,Acessórios,176.76,2,Sudeste,Orgânico,3.9,353.52
111,2024-03-06,Áudio,695.59,4,Sudeste,Instagram,3.0,2782.36
112,2024-03-09,Áudio,1103.13,2,Sudeste,Instagram,4.2,2206.26
113,2024-03-09,Notebooks,6322.4,1,Nordeste,Google Ads,4.3,6322.4
114,2024-03-09,Áudio,700.78,1,Sudeste,Google Ads,4.2,700.78
115,2024-03-10,Smartphones,3443.0,2,Nordeste,Instagram,5.0,6886.0
116,2024-03-10,Acessórios,186.43,4,Sul,Google Ads,3.4,745.72
117,2024-03-14,TVs,4684.56,1,Sudeste,Google Ads,4.6,4684.56
118,2024-03-15,Acessórios,226.46,3,Nordeste,E-mail,3.5,679.38
119,2024-03-15,Smartphones,2000.52,1,Sudeste,Orgânico,4.2,2000.52
120,2024-03-16,Notebooks,2686.34,1,Sul,E-mail,3.3,2686.34
121,2024-03-16,Notebooks,4952.46,2,Sudeste,E-mail,4.6,9904.92
122,2024-03-16,Notebooks,6045.01,2,Sudeste,Orgânico,4.1,12090.02
123,2024-03-17,Smartphones,2810.99,1,Sudeste,Orgânico,4.1,2810.99
124,2024-03-17,Smartphones,3002.1,1,Centro-Oeste,Orgânico,4.4,3002.1
125,2024-03-17,Acessórios,62.57,3,Sudeste,Orgânico,3.7,187.71
126,2024-03-17,Áudio,292.39,4,Nordeste,Orgânico,3.7,1169.56
127,2024-03-17,Notebooks,6371.7,1,Sudeste,Orgânico,3.9,6371.7
128,2024-03-18,Notebooks,4988.42,1,Nordeste,Instagram,4.6,4988.42
129,2024-03-19,Notebooks,6492.89,1,Sudeste,Orgânico,5.0,6492.89
130,2024-03-19,Notebooks,4708.22,2,Sul,Instagram,4.7,9416.44
131,2024-03-20,Smartphones,2641.56,1,Sudeste,Orgânico,4.7,2641.56
132,2024-03-20,Acessórios,39.3,3,Sudeste,Google Ads,4.9,117.89999999999999
133,2024-03-22,Áudio,1242.85,1,Sudeste,Instagram,3.7,1242.85
134,2024-03-22,Notebooks,5791.92,1,Nordeste,Instagram,4.6,5791.92
135,2024-03-22,Áudio,1080.78,2,Centro-Oeste,Google Ads,3.8,2161.56
136,2024-03-22,Áudio,222.71,3,Nordeste,E-mail,3.8,668.13
137,2024-03-22,TVs,3241.85,1,Sudeste,Instagram,4.7,3241.85
138,2024-03-23,Smartphones,4804.62,1,Sudeste,Instagram,3.6,4804.62
139,2024-03-23,Acessórios,230.91,2,Centro-Oeste,Instagram,3.6,461.82
140,2024-03-24,Áudio,691.6,1,Sudeste,Google Ads,4.4,691.6
141,2024-03-25,Notebooks,7429.85,1,Sudeste,Orgânico,3.8,7429.85
142,2024-03-25,Smartphones,3576.16,2,Sudeste,Google Ads,4.0,7152.32
143,2024-03-26,Smartphones,3020.89,1,Nordeste,Google Ads,3.9,3020.89
144,2024-03-26,Áudio,1033.59,3,Sudeste,Orgânico,4.9,3100.7699999999995
145,2024-03-26,Acessórios,249.03,5,Norte,Google Ads,4.7,1245.15
146,2024-03-26,TVs,5641.34,2,Sudeste,Instagram,4.1,11282.68
147,2024-03-28,Acessórios,187.5,3,Sudeste,E-mail,5.0,562.5
148,2024-04-01,Notebooks,5561.5,1,Sudeste,Orgânico,5.0,5561.5
149,2024-04-01,TVs,2495.44,2,Nordeste,Orgânico,3.9,4990.88
150,2024-04-02,Áudio,1283.71,5,Sudeste,Instagram,4.1,6418.55
151,2024-04-02,Acessórios,175.42,3,Norte,E-mail,4.1,526.26
152,2024-04-02,Áudio,184.85,1,Sudeste,Google Ads,3.8,184.85
153,2024-04-03,Áudio,1144.2,1,Nordeste,Instagram,4.9,1144.2
154,2024-04-03,Acessórios,34.63,4,Centro-Oeste,Instagram,4.5,138.52
155,2024-04-03,Acessórios,236.9,3,Sudeste,Google Ads,3.6,710.7
156,2024-04-03,Acessórios,148.71,3,Sudeste,Google Ads,5.0,446.13
157,2024-04-04,Acessórios,209.95,3,Sudeste,Google Ads,3.9,629.8499999999999
158,2024-04-05,Smartphones,2076.16,1,Sul,Instagram,3.2,2076.16
159,2024-04-06,TVs,2918.35,1,Centro-Oeste,Orgânico,4.2,2918.35
160,2024-04-08,Smartphones,1349.82,2,Sudeste,Google Ads,3.3,2699.64
161,2024-04-08,Acessórios,51.99,3,Sudeste,Google Ads,3.6,155.97
162,2024-04-08,Notebooks,5138.8,2,Sudeste,Google Ads,3.2,10277.6
163,2024-04-09,Áudio,1139.28,3,Sudeste,Orgânico,4.2,3417.84
164,2024-04-10,Smartphones,2532.38,1,Sudeste,Google Ads,4.1,2532.38
165,2024-04-11,Áudio,845.0,1,Sudeste,Instagram,3.7,845.0
166,2024-04-11,Acessórios,159.23,5,Sul,Orgânico,3.0,796.15
167,2024-04-11,Smartphones,3487.15,1,Nordeste,E-mail,4.2,3487.15
168,2024-04-12,Acessórios,101.36,4,Nordeste,Orgânico,3.9,405.44
169,2024-04-13,Acessórios,121.67,3,Sudeste,Orgânico,5.0,365.01
170,2024-04-13,Acessórios,289.74,2,Nordeste,Instagram,2.8,579.48
171,2024-04-15,Smartphones,4325.43,1,Nordeste,Instagram,4.2,4325.43
172,2024-04-15,Áudio,250.75,4,Centro-Oeste,Google Ads,4.2,1003.0
173,2024-04-15,Áudio,952.54,1,Sudeste,E-mail,4.6,952.54
174,2024-04-15,Smartphones,1364.97,2,Sul,Instagram,3.4,2729.94
175,2024-04-15,TVs,2514.47,2,Nordeste,E-mail,4.7,5028.94
176,2024-04-17,TVs,2330.14,1,Nordeste,Google Ads,4.3,2330.14
177,2024-04-17,Notebooks,3712.67,1,Sudeste,Instagram,4.1,3712.67
178,2024-04-18,Smartphones,3118.41,2,Sul,Instagram,4.0,6236.82
179,2024-04-18,Acessórios,143.06,4,Nordeste,Instagram,4.0,572.24
180,2024-04-19,Smartphones,4717.16,1,Nordeste,Instagram,2.5,4717.16
181,2024-04-20,TVs,4980.63,2,Centro-Oeste,Google Ads,3.7,9961.26
182,2024-04-21,Áudio,545.31,2,Sul,Instagram,5.0,1090.62
183,2024-04-22,Áudio,827.96,1,Norte,Instagram,4.7,827.96
184,2024-04-25,Smartphones,2476.29,1,Sul,E-mail,4.9,2476.29
185,2024-04-25,Áudio,1493.13,5,Sudeste,Instagram,5.0,7465.650000000001
186,2024-04-25,Notebooks,2560.67,1,Sul,Google Ads,3.2,2560.67
187,2024-04-26,Smartphones,2519.9,1,Sudeste,Google Ads,3.4,2519.9
188,2024-04-26,Acessórios,162.03,4,Sudeste,Orgânico,4.0,648.12
189,2024-04-27,Acessórios,261.36,3,Sudeste,Google Ads,5.0,784.08
190,2024-04-28,Acessórios,27.34,1,Nordeste,Google Ads,3.7,27.34
191,2024-04-28,Áudio,550.77,1,Sudeste,E-mail,3.3,550.77
192,2024-05-01,Smartphones,1626.76,1,Sudeste,Instagram,2.8,1626.76
193,2024-05-01,Notebooks,7230.7,1,Sudeste,Google Ads,3.3,7230.7
194,2024-05-01,Smartphones,1661.71,2,Norte,Orgânico,5.0,3323.42
195,2024-05-01,Smartphones,2210.23,1,Sudeste,Orgânico,4.1,2210.23
196,2024-05-01,Smartphones,3227.35,1,Norte,Google Ads,4.2,3227.35
197,2024-05-01,Áudio,433.97,1,Centro-Oeste,E-mail,4.7,433.97
198,2024-05-01,Smartphones,3489.7,1,Sul,Instagram,3.8,3489.7
199,2024-05-02,Smartphones,4101.7,2,Sul,Orgânico,4.8,8203.4
200,2024-05-02,Acessórios,289.39,1,Sul,Orgânico,3.8,289.39
201,2024-05-03,Áudio,269.55,1,Sudeste,Google Ads,4.3,269.55
202,2024-05-03,Acessórios,160.32,1,Sul,E-mail,4.6,160.32
203,2024-05-04,Smartphones,4829.9,1,Centro-Oeste,Orgânico,5.0,4829.9
204,2024-05-04,Smartphones,4356.49,1,Sudeste,Google Ads,4.7,4356.49
205,2024-05-05,Notebooks,5609.32,1,Sul,Instagram,4.0,5609.32
206,2024-05-05,Áudio,231.19,4,Sudeste,Google Ads,5.0,924.76
207,2024-05-06,Notebooks,6389.81,2,Nordeste,Orgânico,5.0,12779.62
208,2024-05-07,Smartphones,1903.74,1,Sudeste,Orgânico,4.8,1903.74
209,2024-05-07,Acessórios,155.74,1,Centro-Oeste,Google Ads,4.3,155.74
210,2024-05-07,TVs,5915.56,1,Sudeste,Orgânico,4.8,5915.56
211,2024-05-07,Notebooks,2601.15,2,Centro-Oeste,Instagram,3.6,5202.3
212,2024-05-07,Notebooks,3360.1,2,Sudeste,Google Ads,3.1,6720.2
213,2024-05-09,Áudio,1029.75,4,Norte,Orgânico,3.8,4119.0
214,2024-05-10,Acessórios,70.99,5,Sudeste,Instagram,3.8,354.95
215,2024-05-10,Smartphones,1311.14,1,Nordeste,Google Ads,4.1,1311.14
216,2024-05-10,Acessórios,250.11,4,Sudeste,Instagram,4.7,1000.44
217,2024-05-11,Smartphones,3188.89,1,Sudeste,Orgânico,4.4,3188.89
218,2024-05-11,Smartphones,3617.91,2,Sudeste,Instagram,4.0,7235.82
219,2024-05-11,Áudio,1051.25,2,Nordeste,Instagram,4.0,2102.5
220,2024-05-12,Smartphones,3491.98,2,Norte,Google Ads,5.0,6983.96
221,2024-05-12,Acessórios,273.55,5,Norte,Google Ads,4.1,1367.75
222,2024-05-12,Acessórios,33.14,1,Sudeste,E-mail,3.8,33.14
223,2024-05-13,Smartphones,2719.64,1,Centro-Oeste,E-mail,4.1,2719.64
224,2024-05-13,Áudio,152.54,5,Sul,Orgânico,4.3,762.6999999999999
225,2024-05-13,Smartphones,4434.59,2,Nordeste,Google Ads,4.3,8869.18
226,2024-05-14,Acessórios,69.08,1,Sul,Instagram,4.5,69.08
227,2024-05-14,Acessórios,45.64,3,Centro-Oeste,Google Ads,3.6,136.92000000000002
228,2024-05-15,Smartphones,2297.04,2,Nordeste,Instagram,4.6,4594.08
229,2024-05-15,Acessórios,143.5,3,Centro-Oeste,Instagram,4.6,430.5
230,2024-05-15,Acessórios,65.36,4,Sul,Instagram,4.7,261.44
231,2024-05-16,Notebooks,6001.68,1,Sudeste,E-mail,5.0,6001.68
232,2024-05-16,Áudio,1056.46,1,Sudeste,Orgânico,3.7,1056.46
233,2024-05-17,Áudio,1128.52,4,Sudeste,Google Ads,4.7,4514.08
234,2024-05-17,TVs,4188.64,2,Centro-Oeste,Instagram,4.8,8377.28
235,2024-05-17,Notebooks,7470.48,2,Nordeste,Instagram,3.6,14940.96
236,2024-05-17,Notebooks,6998.09,2,Sudeste,Instagram,3.7,13996.18
237,2024-05-18,Smartphones,2063.62,2,Sul,Instagram,5.0,4127.24
238,2024-05-19,Smartphones,3041.49,2,Sudeste,E-mail,4.8,6082.98
239,2024-05-19,TVs,2299.95,2,Sudeste,Instagram,5.0,4599.9
240,2024-05-19,Smartphones,4190.23,1,Sul,E-mail,4.0,4190.23
241,2024-05-20,Acessórios,195.25,5,Sul,E-mail,4.2,976.25
242,2024-05-20,TVs,4558.41,2,Nordeste,Google Ads,3.7,9116.82
243,2024-05-21,Notebooks,6182.81,2,Nordeste,E-mail,4.6,12365.62
244,2024-05-22,Notebooks,5595.13,2,Sul,Google Ads,4.0,11190.26
245,2024-05-22,Acessórios,152.18,3,Nordeste,Instagram,3.1,456.54
246,2024-05-22,Notebooks,4906.82,1,Sudeste,E-mail,4.0,4906.82
247,2024-05-22,TVs,3169.67,2,Sudeste,Instagram,3.9,6339.34
248,2024-05-23,Notebooks,3173.07,1,Norte,E-mail,4.3,3173.07
249,2024-05-23,Smartphones,4432.21,1,Nordeste,Instagram,3.0,4432.21
250,2024-05-24,Smartphones,4446.0,1,Sul,Instagram,3.1,4446.0
251,2024-05-25,Acessórios,110.81,3,Sudeste,E-mail,3.0,332.43
252,2024-05-26,Notebooks,4442.88,2,Sudeste,Orgânico,4.2,8885.76
253,2024-05-26,Acessórios,96.2,2,Sudeste,Instagram,4.5,192.4
254,2024-05-26,Acessórios,42.57,2,Sudeste,Google Ads,4.7,85.14
255,2024-05-27,Smartphones,3955.98,2,Sudeste,Instagram,4.0,7911.96
256,2024-05-27,Áudio,998.83,4,Centro-Oeste,Google Ads,4.0,3995.32
257,2024-05-27,TVs,5523.86,1,Sudeste,Google Ads,3.8,5523.86
258,2024-05-28,TVs,5170.87,2,Centro-Oeste,Orgânico,4.3,10341.74
259,2024-05-28,Notebooks,5931.43,2,Nordeste,E-mail,4.3,11862.86
260,2024-06-02,Áudio,982.85,1,Sudeste,Orgânico,4.4,982.85
261,2024-06-02,Smartphones,4509.68,2,Nordeste,Instagram,4.7,9019.36
262,2024-06-04,Acessórios,37.44,4,Sul,Orgânico,4.5,149.76
263,2024-06-05,Smartphones,4311.19,1,Centro-Oeste,E-mail,3.5,4311.19
264,2024-06-05,Acessórios,115.72,4,Sudeste,Orgânico,4.2,462.88
265,2024-06-05,Acessórios,298.97,3,Nordeste,Orgânico,4.6,896.9100000000001
266,2024-06-05,Smartphones,3293.26,1,Sudeste,Google Ads,3.3,3293.26
267,2024-06-06,Áudio,488.49,5,Nordeste,E-mail,3.9,2442.45
268,2024-06-06,Áudio,683.99,3,Sudeste,Orgânico,4.9,2051.9700000000003
269,2024-06-07,Acessórios,133.34,5,Sudeste,Orgânico,4.6,666.7
270,2024-06-07,Notebooks,6801.15,2,Sudeste,Google Ads,4.4,13602.3
271,2024-06-08,TVs,3664.9,2,Sudeste,Orgânico,4.3,7329.8
272,2024-06-09,Notebooks,5908.35,1,Sudeste,Instagram,4.1,5908.35
273,2024-06-09,Áudio,368.26,2,Sudeste,Google Ads,4.6,736.52
274,2024-06-09,Notebooks,5469.76,1,Sudeste,E-mail,3.6,5469.76
275,2024-06-09,Smartphones,1457.78,1,Sul,Instagram,3.4,1457.78
276,2024-06-10,Smartphones,2552.7,1,Centro-Oeste,Orgânico,4.3,2552.7
277,2024-06-10,Notebooks,5291.07,1,Norte,E-mail,4.4,5291.07
278,2024-06-11,Áudio,668.17,1,Sudeste,Google Ads,4.6,668.17
279,2024-06-11,Acessórios,154.37,3,Nordeste,Orgânico,3.8,463.11
280,2024-06-12,Acessórios,140.09,1,Nordeste,Orgânico,3.8,140.09
281,2024-06-13,TVs,4439.68,1,Sul,E-mail,4.4,4439.68
282,2024-06-14,Smartphones,4986.07,1,Sul,Instagram,3.6,4986.07
283,2024-06-15,TVs,2949.97,2,Centro-Oeste,Orgânico,4.6,5899.94
284,2024-06-15,TVs,4367.41,2,Sudeste,Instagram,4.0,8734.82
285,2024-06-16,Smartphones,4834.38,1,Sudeste,Instagram,4.4,4834.38
286,2024-06-16,Áudio,797.13,1,Nordeste,E-mail,5.0,797.13
287,2024-06-16,Smartphones,4168.45,2,Nordeste,E-mail,4.5,8336.9
288,2024-06-16,Smartphones,4276.21,1,Sul,Instagram,4.5,4276.21
289,2024-06-17,Smartphones,2043.49,2,Sudeste,Google Ads,5.0,4086.98
290,2024-06-17,Áudio,471.55,2,Sul,Instagram,3.7,943.1
291,2024-06-17,Acessórios,47.07,1,Sudeste,E-mail,5.0,47.07
292,2024-06-18,Áudio,760.47,5,Sudeste,Google Ads,3.2,3802.3500000000004
293,2024-06-18,Acessórios,121.02,2,Sudeste,Google Ads,4.7,242.04
294,2024-06-19,Notebooks,2649.42,1,Sudeste,Instagram,3.2,2649.42
295,2024-06-20,Áudio,243.09,4,Nordeste,Orgânico,4.0,972.36
296,2024-06-20,TVs,4146.26,2,Sul,Instagram,4.1,8292.52
297,2024-06-21,Smartphones,1446.95,2,Sul,Google Ads,3.4,2893.9
298,2024-06-21,Acessórios,275.31,2,Nordeste,Instagram,5.0,550.62
299,2024-06-21,Notebooks,3643.37,1,Sul,Google Ads,3.8,3643.37
300,2024-06-22,Áudio,151.66,1,Nordeste,Orgânico,3.9,151.66
301,2024-06-22,Notebooks,3750.75,2,Centro-Oeste,Instagram,4.7,7501.5
302,2024-06-23,Áudio,1395.72,1,Sudeste,Orgânico,4.1,1395.72
303,2024-06-23,Áudio,353.93,4,Sudeste,Google Ads,4.2,1415.72
304,2024-06-23,Smartphones,2546.1,1,Sudeste,Instagram,2.6,2546.1
305,2024-06-24,Áudio,604.1,4,Sudeste,Instagram,4.1,2416.4
306,2024-06-24,Smartphones,3529.17,2,Nordeste,Instagram,3.3,7058.34
307,2024-06-24,Acessórios,186.54,1,Sudeste,Google Ads,3.7,186.54
308,2024-06-25,Acessórios,158.89,1,Sudeste,Google Ads,4.3,158.89
309,2024-06-25,TVs,4930.28,1,Sudeste,Google Ads,3.1,4930.28
310,2024-06-25,Áudio,871.23,1,Nordeste,Google Ads,4.2,871.23
311,2024-06-26,Acessórios,152.18,5,Nordeste,Instagram,4.2,760.9000000000001
312,2024-06-27,Notebooks,5700.84,1,Sul,Google Ads,3.7,5700.84
313,2024-06-27,Smartphones,4474.79,1,Centro-Oeste,Instagram,4.7,4474.79
314,2024-06-28,Notebooks,5135.51,1,Norte,Instagram,4.4,5135.51
315,2024-06-28,Acessórios,184.03,5,Sudeste,Instagram,4.1,920.15
316,2024-06-28,Áudio,1034.26,3,Sudeste,Instagram,4.3,3102.7799999999997
317,2024-06-28,Acessórios,87.77,1,Sul,Instagram,4.2,87.77
318,2024-07-01,Áudio,1358.0,4,Centro-Oeste,Orgânico,3.4,5432.0
319,2024-07-02,Áudio,1325.28,3,Sudeste,Orgânico,5.0,3975.84
320,2024-07-02,TVs,2090.6,1,Sul,Orgânico,4.9,2090.6
321,2024-07-03,Smartphones,1974.31,2,Sul,Instagram,4.8,3948.62
322,2024-07-03,Acessórios,24.9,2,Sudeste,Instagram,3.0,49.8
323,2024-07-04,Notebooks,5061.97,1,Centro-Oeste,Instagram,5.0,5061.97
324,2024-07-04,Smartphones,3540.28,2,Sudeste,Instagram,4.9,7080.56
325,2024-07-04,Smartphones,3095.77,2,Centro-Oeste,Orgânico,4.9,6191.54
326,2024-07-04,Smartphones,3037.47,1,Sudeste,Instagram,4.1,3037.47
327,2024-07-05,Smartphones,3132.6,2,Sudeste,E-mail,4.8,6265.2
328,2024-07-05,Smartphones,3687.83,1,Sul,Orgânico,4.1,3687.83
329,2024-07-05,Smartphones,4695.45,2,Centro-Oeste,Orgânico,4.5,9390.9
330,2024-07-07,Áudio,921.28,2,Nordeste,Google Ads,4.0,1842.56
331,2024-07-08,Smartphones,3960.55,1,Sudeste,Instagram,4.1,3960.55
332,2024-07-09,Áudio,568.99,5,Nordeste,Instagram,3.7,2844.95
333,2024-07-09,Acessórios,23.08,5,Norte,E-mail,4.0,115.39999999999999
334,2024-07-09,Áudio,1122.27,5,Sul,Instagram,4.1,5611.35
