data_pedido,categoria,preco_unitario,quantidade,regiao,canal_marketing,avaliacao
2024-01-25,Smartphones,2632.27,2,Sudeste,Orgânico,4.4
2024-01-26,Áudio,465.51,5,Sul,Google Ads,5.0
2024-01-26,Áudio,903.06,2,Sul,Google Ads,3.8
2024-01-26,Smartphones,3079.03,1,Nordeste,Google Ads,4.0
2024-01-27,Acessórios,38.86,2,Nordeste,Instagram,3.8
2024-01-27,Notebooks,4493.17,1,Nordeste,Instagram,4.8
2024-01-27,Áudio,1436.08,1,Sul,Orgânico,4.5
2024-01-27,Acessórios,212.06,4,Norte,Instagram,5.0
2024-01-28,Smartphones,3436.51,1,Sudeste,Google Ads,2.5
2024-01-28,Smartphones,2188.89,1,Norte,Orgânico,5.0
2024-02-01,TVs,1636.74,2,Sudeste,E-mail,3.7
2024-02-02,Notebooks,5982.54,2,Sudeste,Orgânico,4.0
2024-02-02,Notebooks,5639.97,1,Sudeste,Orgânico,3.9
2024-02-03,Acessórios,168.48,2,Sudeste,Instagram,4.1
2024-02-03,Acessórios,77.73,3,Centro-Oeste,Orgânico,5.0
2024-02-03,TVs,5401.64,2,Nordeste,Google Ads,4.0
2024-02-03,Áudio,354.62,4,Sudeste,Orgânico,4.3
2024-02-03,TVs,4183.21,1,Sudeste,Google Ads,4.7
2024-02-04,Acessórios,135.79,1,Nordeste,Orgânico,4.0
2024-02-04,Smartphones,4830.99,1,Sudeste,Instagram,5.0
2024-02-06,Notebooks,5108.18,2,Nordeste,Google Ads,4.8
2024-02-06,Smartphones,2641.36,1,Sudeste,Google Ads,4.6
2024-02-06,Notebooks,5706.73,2,Nordeste,Google Ads,4.7
2024-02-09,Notebooks,2528.3,2,Sul,Google Ads,4.4
2024-02-09,Acessórios,268.85,1,Nordeste,Instagram,3.7
2024-02-09,Smartphones,2842.51,2,Sul,Orgânico,4.9
2024-02-09,TVs,5162.87,1,Nordeste,Instagram,4.5
2024-02-10,Acessórios,67.73,2,Nordeste,Google Ads,5.0
2024-02-11,Acessórios,280.29,4,Centro-Oeste,Google Ads,3.4
2024-02-13,Acessórios,46.04,4,Sul,Orgânico,3.3
2024-02-14,Áudio,1187.17,1,Sul,Orgânico,4.9
2024-02-14,Smartphones,4081.31,2,Sudeste,Orgânico,4.5
2024-02-15,Acessórios,36.87,5,Sudeste,E-mail,4.7
2024-02-15,Smartphones,1825.88,1,Sudeste,Orgânico,4.9
2024-02-15,Acessórios,35.72,3,Sudeste,Google Ads,4.2
2024-02-16,Notebooks,7798.67,1,Centro-Oeste,Instagram,4.3
2024-02-16,Smartphones,4082.02,2,Centro-Oeste,Google Ads,4.3
2024-02-17,Acessórios,297.64,4,Sul,Orgânico,3.9
2024-02-17,TVs,1732.18,2,Centro-Oeste,Google Ads,4.2
2024-02-18,Smartphones,1615.98,1,Centro-Oeste,Instagram,3.5
2024-02-18,Notebooks,3057.81,1,Sul,Orgânico,3.9
2024-02-19,Acessórios,194.6,2,Sudeste,Instagram,3.6
2024-02-19,Áudio,1160.06,4,Centro-Oeste,E-mail,3.6
2024-02-20,Áudio,1384.46,2,Sudeste,Orgânico,4.2
2024-02-20,Áudio,1079.34,2,Nordeste,Instagram,4.6
2024-02-21,Áudio,178.28,4,Nordeste,Google Ads,3.7
2024-02-23,Áudio,1492.09,2,Sul,Google Ads,4.9
2024-02-24,TVs,5629.89,2,Centro-Oeste,Google Ads,4.3
2024-02-24,TVs,4477.35,1,Sul,E-mail,5.0
2024-02-25,Áudio,307.09,2,Sudeste,Google Ads,5.0
2024-02-25,Acessórios,250.02,3,Norte,E-mail,5.0
2024-02-27,Acessórios,202.4,2,Sudeste,Instagram,5.0
2024-02-27,Áudio,902.36,4,Nordeste,Google Ads,5.0
2024-02-27,Notebooks,2639.62,2,Sudeste,Google Ads,4.3
2024-02-28,Áudio,160.21,5,Sudeste,Orgânico,3.5
2024-02-28,TVs,4924.63,2,Centro-Oeste,Instagram,3.2
2024-03-01,Áudio,1336.81,3,Sudeste,Instagram,5.0
2024-03-01,Smartphones,4311.09,2,Sudeste,Orgânico,3.6
2024-03-01,Smartphones,1768.41,1,Sudeste,E-mail,3.4
2024-03-01,Áudio,1357.55,5,Sul,Instagram,3.2
2024-03-02,Smartphones,1705.95,2,Sudeste,Google Ads,5.0
2024-03-03,TVs,5067.84,2,Sudeste,Google Ads,4.9
2024-03-04,Smartphones,1354.87,2,Sudeste,Instagram,4.0
2024-03-04,Acessórios,91.83,3,Nordeste,Google Ads,4.3
2024-03-04,Acessórios,72.17,1,Nordeste,Google Ads,3.5
2024-03-05,TVs,1894.39,1,Centro-Oeste,Instagram,4.7
2024-03-05,Notebooks,7275.49,2,Centro-Oeste,Orgânico,4.8
2024-03-06,Acessórios,75.87,3,Sudeste,Instagram,5.0
2024-03-06,Acessórios,176.76,2,Sudeste,Orgânico,3.9
2024-03-06,Áudio,695.59,4,Sudeste,Instagram,3.0
2024-03-09,Áudio,1103.13,2,Sudeste,Instagram,4.2
2024-03-09,Notebooks,6322.4,1,Nordeste,Google Ads,4.3
2024-03-09,Áudio,700.78,1,Sudeste,Google Ads,4.2
2024-03-10,Smartphones,3443.0,2,Nordeste,Instagram,5.0
2024-03-10,Acessórios,186.43,4,Sul,Google Ads,3.4
2024-03-14,TVs,4684.56,1,Sudeste,Google Ads,4.6
2024-03-15,Acessórios,226.46,3,Nordeste,E-mail,3.5
2024-03-15,Smartphones,2000.52,1,Sudeste,Orgânico,4.2
2024-03-16,Notebooks,2686.34,1,Sul,E-mail,3.3
2024-03-16,Notebooks,4952.46,2,Sudeste,E-mail,4.6
2024-03-16,Notebooks,6045.01,2,Sudeste,Orgânico,4.1
2024-03-17,Smartphones,2810.99,1,Sudeste,Orgânico,4.1
2024-03-17,Smartphones,3002.1,1,Centro-Oeste,Orgânico,4.4
2024-03-17,Acessórios,62.57,3,Sudeste,Orgânico,3.7
2024-03-17,Áudio,292.39,4,Nordeste,Orgânico,3.7
2024-03-17,Notebooks,6371.7,1,Sudeste,Orgânico,3.9
2024-03-18,Notebooks,4988.42,1,Nordeste,Instagram,4.6
2024-03-19,Notebooks,6492.89,1,Sudeste,Orgânico,5.0
2024-03-19,Notebooks,4708.22,2,Sul,Instagram,4.7
2024-03-20,Smartphones,2641.56,1,Sudeste,Orgânico,4.7
2024-03-20,Acessórios,39.3,3,Sudeste,Google Ads,4.9
2024-03-22,Áudio,1242.85,1,Sudeste,Instagram,3.7
2024-03-22,Notebooks,5791.92,1,Nordeste,Instagram,4.6
2024-03-22,Áudio,1080.78,2,Centro-Oeste,Google Ads,3.8
2024-03-22,Áudio,222.71,3,Nordeste,E-mail,3.8
2024-03-22,TVs,3241.85,1,Sudeste,Instagram,4.7
2024-03-23,Smartphones,4804.62,1,Sudeste,Instagram,3.6
2024-03-23,Acessórios,230.91,2,Centro-Oeste,Instagram,3.6
2024-03-24,Áudio,691.6,1,Sudeste,Google Ads,4.4
2024-03-25,Notebooks,7429.85,1,Sudeste,Orgânico,3.8
2024-03-25,Smartphones,3576.16,2,Sudeste,Google Ads,4.0
2024-03-26,Smartphones,3020.89,1,Nordeste,Google Ads,3.9
2024-03-26,Áudio,1033.59,3,Sudeste,Orgânico,4.9
2024-03-26,Acessórios,249.03,5,Norte,Google Ads,4.7
2024-03-26,TVs,5641.34,2,Sudeste,Instagram,4.1
2024-03-28,Acessórios,187.5,3,Sudeste,E-mail,5.0
2024-04-01,Notebooks,5561.5,1,Sudeste,Orgânico,5.0
2024-04-01,TVs,2495.44,2,Nordeste,Orgânico,3.9
2024-04-02,Áudio,1283.71,5,Sudeste,Instagram,4.1
2024-04-02,Acessórios,175.42,3,Norte,E-mail,4.1
2024-04-02,Áudio,184.85,1,Sudeste,Google Ads,3.8
2024-04-03,Áudio,1144.2,1,Nordeste,Instagram,4.9
2024-04-03,Acessórios,34.63,4,Centro-Oeste,Instagram,4.5
2024-04-03,Acessórios,236.9,3,Sudeste,Google Ads,3.6
2024-04-03,Acessórios,148.71,3,Sudeste,Google Ads,5.0
2024-04-04,Acessórios,209.95,3,Sudeste,Google Ads,3.9
2024-04-05,Smartphones,2076.16,1,Sul,Instagram,3.2
2024-04-06,TVs,2918.35,1,Centro-Oeste,Orgânico,4.2
2024-04-08,Smartphones,1349.82,2,Sudeste,Google Ads,3.3
2024-04-08,Acessórios,51.99,3,Sudeste,Google Ads,3.6
2024-04-08,Notebooks,5138.8,2,Sudeste,Google Ads,3.2
2024-04-09,Áudio,1139.28,3,Sudeste,Orgânico,4.2
2024-04-10,Smartphones,2532.38,1,Sudeste,Google Ads,4.1
2024-04-11,Áudio,845.0,1,Sudeste,Instagram,3.7
2024-04-11,Acessórios,159.23,5,Sul,Orgânico,3.0
2024-04-11,Smartphones,3487.15,1,Nordeste,E-mail,4.2
2024-04-12,Acessórios,101.36,4,Nordeste,Orgânico,3.9
2024-04-13,Acessórios,121.67,3,Sudeste,Orgânico,5.0
2024-04-13,Acessórios,289.74,2,Nordeste,Instagram,2.8
2024-04-15,Smartphones,4325.43,1,Nordeste,Instagram,4.2
2024-04-15,Áudio,250.75,4,Centro-Oeste,Google Ads,4.2
2024-04-15,Áudio,952.54,1,Sudeste,E-mail,4.6
2024-04-15,Smartphones,1364.97,2,Sul,Instagram,3.4
2024-04-15,TVs,2514.47,2,Nordeste,E-mail,4.7
2024-04-17,TVs,2330.14,1,Nordeste,Google Ads,4.3
2024-04-17,Notebooks,3712.67,1,Sudeste,Instagram,4.1
2024-04-18,Smartphones,3118.41,2,Sul,Instagram,4.0
2024-04-18,Acessórios,143.06,4,Nordeste,Instagram,4.0
2024-04-19,Smartphones,4717.16,1,Nordeste,Instagram,2.5
2024-04-20,TVs,4980.63,2,Centro-Oeste,Google Ads,3.7
2024-04-21,Áudio,545.31,2,Sul,Instagram,5.0
2024-04-22,Áudio,827.96,1,Norte,Instagram,4.7
2024-04-25,Smartphones,2476.29,1,Sul,E-mail,4.9
2024-04-25,Áudio,1493.13,5,Sudeste,Instagram,5.0
2024-04-25,Notebooks,2560.67,1,Sul,Google Ads,3.2
2024-04-26,Smartphones,2519.9,1,Sudeste,Google Ads,3.4
2024-04-26,Acessórios,162.03,4,Sudeste,Orgânico,4.0
2024-04-27,Acessórios,261.36,3,Sudeste,Google Ads,5.0
2024-04-28,Acessórios,27.34,1,Nordeste,Google Ads,3.7
2024-04-28,Áudio,550.77,1,Sudeste,E-mail,3.3
2024-05-01,Smartphones,1626.76,1,Sudeste,Instagram,2.8
2024-05-01,Notebooks,7230.7,1,Sudeste,Google Ads,3.3
2024-05-01,Smartphones,1661.71,2,Norte,Orgânico,5.0
2024-05-01,Smartphones,2210.23,1,Sudeste,Orgânico,4.1
2024-05-01,Smartphones,3227.35,1,Norte,Google Ads,4.2
2024-05-01,Áudio,433.97,1,Centro-Oeste,E-mail,4.7
2024-05-01,Smartphones,3489.7,1,Sul,Instagram,3.8
2024-05-02,Smartphones,4101.7,2,Sul,Orgânico,4.8
2024-05-02,Acessórios,289.39,1,Sul,Orgânico,3.8
2024-05-03,Áudio,269.55,1,Sudeste,Google Ads,4.3
2024-05-03,Acessórios,160.32,1,Sul,E-mail,4.6
2024-05-04,Smartphones,4829.9,1,Centro-Oeste,Orgânico,5.0
2024-05-04,Smartphones,4356.49,1,Sudeste,Google Ads,4.7
2024-05-05,Notebooks,5609.32,1,Sul,Instagram,4.0
2024-05-05,Áudio,231.19,4,Sudeste,Google Ads,5.0
2024-05-06,Notebooks,6389.81,2,Nordeste,Orgânico,5.0
2024-05-07,Smartphones,1903.74,1,Sudeste,Orgânico,4.8
2024-05-07,Acessórios,155.74,1,Centro-Oeste,Google Ads,4.3
2024-05-07,TVs,5915.56,1,Sudeste,Orgânico,4.8
2024-05-07,Notebooks,2601.15,2,Centro-Oeste,Instagram,3.6
2024-05-07,Notebooks,3360.1,2,Sudeste,Google Ads,3.1
2024-05-09,Áudio,1029.75,4,Norte,Orgânico,3.8
2024-05-10,Acessórios,70.99,5,Sudeste,Instagram,3.8
2024-05-10,Smartphones,1311.14,1,Nordeste,Google Ads,4.1
2024-05-10,Acessórios,250.11,4,Sudeste,Instagram,4.7
2024-05-11,Smartphones,3188.89,1,Sudeste,Orgânico,4.4
2024-05-11,Smartphones,3617.91,2,Sudeste,Instagram,4.0
2024-05-11,Áudio,1051.25,2,Nordeste,Instagram,4.0
2024-05-12,Smartphones,3491.98,2,Norte,Google Ads,5.0
2024-05-12,Acessórios,273.55,5,Norte,Google Ads,4.1
2024-05-12,Acessórios,33.14,1,Sudeste,E-mail,3.8
2024-05-13,Smartphones,2719.64,1,Centro-Oeste,E-mail,4.1
2024-05-13,Áudio,152.54,5,Sul,Orgânico,4.3
2024-05-13,Smartphones,4434.59,2,Nordeste,Google Ads,4.3
2024-05-14,Acessórios,69.08,1,Sul,Instagram,4.5
2024-05-14,Acessórios,45.64,3,Centro-Oeste,Google Ads,3.6
2024-05-15,Smartphones,2297.04,2,Nordeste,Instagram,4.6
2024-05-15,Acessórios,143.5,3,Centro-Oeste,Instagram,4.6
2024-05-15,Acessórios,65.36,4,Sul,Instagram,4.7
2024-05-16,Notebooks,6001.68,1,Sudeste,E-mail,5.0
2024-05-16,Áudio,1056.46,1,Sudeste,Orgânico,3.7
2024-05-17,Áudio,1128.52,4,Sudeste,Google Ads,4.7
2024-05-17,TVs,4188.64,2,Centro-Oeste,Instagram,4.8
2024-05-17,Notebooks,7470.48,2,Nordeste,Instagram,3.6
2024-05-17,Notebooks,6998.09,2,Sudeste,Instagram,3.7
2024-05-18,Smartphones,2063.62,2,Sul,Instagram,5.0
2024-05-19,Smartphones,3041.49,2,Sudeste,E-mail,4.8
2024-05-19,TVs,2299.95,2,Sudeste,Instagram,5.0
2024-05-19,Smartphones,4190.23,1,Sul,E-mail,4.0
2024-05-20,Acessórios,195.25,5,Sul,E-mail,4.2
2024-05-20,TVs,4558.41,2,Nordeste,Google Ads,3.7
2024-05-21,Notebooks,6182.81,2,Nordeste,E-mail,4.6
2024-05-22,Notebooks,5595.13,2,Sul,Google Ads,4.0
2024-05-22,Acessórios,152.18,3,Nordeste,Instagram,3.1
2024-05-22,Notebooks,4906.82,1,Sudeste,E-mail,4.0
2024-05-22,TVs,3169.67,2,Sudeste,Instagram,3.9
2024-05-23,Notebooks,3173.07,1,Norte,E-mail,4.3
2024-05-23,Smartphones,4432.21,1,Nordeste,Instagram,3.0
2024-05-24,Smartphones,4446.0,1,Sul,Instagram,3.1
2024-05-25,Acessórios,110.81,3,Sudeste,E-mail,3.0
2024-05-26,Notebooks,4442.88,2,Sudeste,Orgânico,4.2
2024-05-26,Acessórios,96.2,2,Sudeste,Instagram,4.5
2024-05-26,Acessórios,42.57,2,Sudeste,Google Ads,4.7
2024-05-27,Smartphones,3955.98,2,Sudeste,Instagram,4.0
2024-05-27,Áudio,998.83,4,Centro-Oeste,Google Ads,4.0
2024-05-27,TVs,5523.86,1,Sudeste,Google Ads,3.8
2024-05-28,TVs,5170.87,2,Centro-Oeste,Orgânico,4.3
2024-05-28,Notebooks,5931.43,2,Nordeste,E-mail,4.3
2024-06-02,Áudio,982.85,1,Sudeste,Orgânico,4.4
2024-06-02,Smartphones,4509.68,2,Nordeste,Instagram,4.7
2024-06-04,Acessórios,37.44,4,Sul,Orgânico,4.5
2024-06-05,Smartphones,4311.19,1,Centro-Oeste,E-mail,3.5
2024-06-05,Acessórios,115.72,4,Sudeste,Orgânico,4.2
2024-06-05,Acessórios,298.97,3,Nordeste,Orgânico,4.6
2024-06-05,Smartphones,3293.26,1,Sudeste,Google Ads,3.3
2024-06-06,Áudio,488.49,5,Nordeste,E-mail,3.9
2024-06-06,Áudio,683.99,3,Sudeste,Orgânico,4.9
2024-06-07,Acessórios,133.34,5,Sudeste,Orgânico,4.6
2024-06-07,Notebooks,6801.15,2,Sudeste,Google Ads,4.4
2024-06-08,TVs,3664.9,2,Sudeste,Orgânico,4.3
2024-06-09,Notebooks,5908.35,1,Sudeste,Instagram,4.1
2024-06-09,Áudio,368.26,2,Sudeste,Google Ads,4.6
2024-06-09,Notebooks,5469.76,1,Sudeste,E-mail,3.6
2024-06-09,Smartphones,1457.78,1,Sul,Instagram,3.4
2024-06-10,Smartphones,2552.7,1,Centro-Oeste,Orgânico,4.3
2024-06-10,Notebooks,5291.07,1,Norte,E-mail,4.4
2024-06-11,Áudio,668.17,1,Sudeste,Google Ads,4.6
2024-06-11,Acessórios,154.37,3,Nordeste,Orgânico,3.8
2024-06-12,Acessórios,140.09,1,Nordeste,Orgânico,3.8
2024-06-13,TVs,4439.68,1,Sul,E-mail,4.4
2024-06-14,Smartphones,4986.07,1,Sul,Instagram,3.6
2024-06-15,TVs,2949.97,2,Centro-Oeste,Orgânico,4.6
2024-06-15,TVs,4367.41,2,Sudeste,Instagram,4.0
2024-06-16,Smartphones,4834.38,1,Sudeste,Instagram,4.4
2024-06-16,Áudio,797.13,1,Nordeste,E-mail,5.0
2024-06-16,Smartphones,4168.45,2,Nordeste,E-mail,4.5
2024-06-16,Smartphones,4276.21,1,Sul,Instagram,4.5
2024-06-17,Smartphones,2043.49,2,Sudeste,Google Ads,5.0
2024-06-17,Áudio,471.55,2,Sul,Instagram,3.7
2024-06-17,Acessórios,47.07,1,Sudeste,E-mail,5.0
2024-06-18,Áudio,760.47,5,Sudeste,Google Ads,3.2
2024-06-18,Acessórios,121.02,2,Sudeste,Google Ads,4.7
2024-06-19,Notebooks,2649.42,1,Sudeste,Instagram,3.2
2024-06-20,Áudio,243.09,4,Nordeste,Orgânico,4.0
2024-06-20,TVs,4146.26,2,Sul,Instagram,4.1
2024-06-21,Smartphones,1446.95,2,Sul,Google Ads,3.4
2024-06-21,Acessórios,275.31,2,Nordeste,Instagram,5.0
2024-06-21,Notebooks,3643.37,1,Sul,Google Ads,3.8
2024-06-22,Áudio,151.66,1,Nordeste,Orgânico,3.9
2024-06-22,Notebooks,3750.75,2,Centro-Oeste,Instagram,4.7
2024-06-23,Áudio,1395.72,1,Sudeste,Orgânico,4.1
2024-06-23,Áudio,353.93,4,Sudeste,Google Ads,4.2
2024-06-23,Smartphones,2546.1,1,Sudeste,Instagram,2.6
2024-06-24,Áudio,604.1,4,Sudeste,Instagram,4.1
2024-06-24,Smartphones,3529.17,2,Nordeste,Instagram,3.3
2024-06-24,Acessórios,186.54,1,Sudeste,Google Ads,3.7
2024-06-25,Acessórios,158.89,1,Sudeste,Google Ads,4.3
2024-06-25,TVs,4930.28,1,Sudeste,Google Ads,3.1
2024-06-25,Áudio,871.23,1,Nordeste,Google Ads,4.2
2024-06-26,Acessórios,152.18,5,Nordeste,Instagram,4.2
2024-06-27,Notebooks,5700.84,1,Sul,Google Ads,3.7
2024-06-27,Smartphones,4474.79,1,Centro-Oeste,Instagram,4.7
2024-06-28,Notebooks,5135.51,1,Norte,Instagram,4.4
2024-06-28,Acessórios,184.03,5,Sudeste,Instagram,4.1
2024-06-28,Áudio,1034.26,3,Sudeste,Instagram,4.3
2024-06-28,Acessórios,87.77,1,Sul,Instagram,4.2
2024-07-01,Áudio,1358.0,4,Centro-Oeste,Orgânico,3.4
2024-07-02,Áudio,1325.28,3,Sudeste,Orgânico,5.0
2024-07-02,TVs,2090.6,1,Sul,Orgânico,4.9
2024-07-03,Smartphones,1974.31,2,Sul,Instagram,4.8
2024-07-03,Acessórios,24.9,2,Sudeste,Instagram,3.0
2024-07-04,Notebooks,5061.97,1,Centro-Oeste,Instagram,5.0
2024-07-04,Smartphones,3540.28,2,Sudeste,Instagram,4.9
2024-07-04,Smartphones,3095.77,2,Centro-Oeste,Orgânico,4.9
2024-07-04,Smartphones,3037.47,1,Sudeste,Instagram,4.1
2024-07-05,Smartphones,3132.6,2,Sudeste,E-mail,4.8
2024-07-05,Smartphones,3687.83,1,Sul,Orgânico,4.1
2024-07-05,Smartphones,4695.45,2,Centro-Oeste,Orgânico,4.5
2024-07-07,Áudio,921.28,2,Nordeste,Google Ads,4.0
2024-07-08,Smartphones,3960.55,1,Sudeste,Instagram,4.1
2024-07-09,Áudio,568.99,5,Nordeste,Instagram,3.7
2024-07-09,Acessórios,23.08,5,Norte,E-mail,4.0
2024-07-09,Áudio,1122.27,5,Sul,Instagram,4.1
2024-07-10,Áudio,397.07,1,Sul,Instagram,4.0
2024-07-11,Acessórios,74.91,5,Centro-Oeste,Orgânico,4.8
2024-07-11,Acessórios,171.17,4,Sudeste,Google Ads,3.1
2024-07-11,Smartphones,4370.35,1,Sudeste,Orgânico,4.0
2024-07-11,Smartphones,4612.52,1,Sudeste,Instagram,4.7
2024-07-12,Acessórios,64.59,1,Nordeste,E-mail,3.0
2024-07-13,Acessórios,23.39,5,Sudeste,Google Ads,3.4
2024-07-14,Acessórios,83.86,1,Nordeste,Instagram,3.2
2024-07-14,Smartphones,1610.19,1,Sudeste,Google Ads,4.2
2024-07-14,Acessórios,116.91,4,Sul,Instagram,4.8
2024-07-14,Smartphones,2953.92,2,Sudeste,Orgânico,4.7
2024-07-15,Áudio,685.85,2,Sul,Google Ads,3.8
2024-07-15,Acessórios,25.37,5,Norte,Orgânico,5.0
2024-07-16,Smartphones,3698.73,1,Sul,Instagram,4.4
2024-07-16,Acessórios,96.43,5,Norte,Instagram,4.2
2024-07-16,Acessórios,140.3,3,Norte,E-mail,4.7
2024-07-17,Acessórios,74.08,5,Nordeste,E-mail,4.6
2024-07-17,Smartphones,1779.18,1,Sudeste,E-mail,4.5
2024-07-18,Acessórios,136.45,4,Sudeste,Instagram,4.0
2024-07-18,TVs,2145.94,2,Sul,Instagram,4.1
2024-07-18,Áudio,189.25,4,Sudeste,Google Ads,3.6
2024-07-19,Notebooks,2560.67,2,Sudeste,Google Ads,3.1
2024-07-20,Acessórios,109.81,2,Sudeste,Orgânico,4.2
2024-07-20,Áudio,923.61,2,Nordeste,Instagram,4.5
2024-07-20,Smartphones,4555.04,2,Sul,Instagram,4.2
2024-07-21,Acessórios,133.23,2,Sudeste,Orgânico,5.0
2024-07-21,Acessórios,80.69,1,Sul,Instagram,3.8
2024-07-21,Áudio,857.93,4,Sul,Orgânico,4.4
2024-07-22,Áudio,949.75,2,Nordeste,Instagram,4.4
2024-07-23,Áudio,828.46,1,Centro-Oeste,Orgânico,4.0
2024-07-24,Smartphones,3209.96,2,Sul,Orgânico,3.3
2024-07-24,Notebooks,6220.82,1,Sul,Google Ads,5.0
2024-07-25,Acessórios,205.53,1,Nordeste,Google Ads,4.0
2024-07-25,Smartphones,3093.8,2,Sudeste,Google Ads,4.2
2024-07-25,Notebooks,6139.1,1,Sudeste,Google Ads,3.5
2024-07-26,Smartphones,4655.68,2,Sul,Instagram,3.9
2024-07-26,Smartphones,2329.95,1,Sudeste,Instagram,3.9
2024-07-26,TVs,4353.03,2,Centro-Oeste,Orgânico,3.9
2024-07-27,Acessórios,274.53,2,Sul,Google Ads,5.0
2024-07-27,Áudio,455.3,2,Sudeste,E-mail,4.2
2024-07-28,Acessórios,271.15,2,Sudeste,Instagram,3.4
2024-07-28,Notebooks,4844.0,1,Sul,E-mail,4.1
2024-07-28,Áudio,598.4,3,Nordeste,Google Ads,3.6
2024-08-02,Smartphones,1346.02,2,Sul,Instagram,4.5
2024-08-02,Acessórios,54.43,5,Centro-Oeste,Google Ads,3.7
2024-08-02,Áudio,832.9,4,Sul,Google Ads,3.5
2024-08-03,Áudio,322.41,4,Sudeste,Instagram,3.1
2024-08-03,Notebooks,3888.8,1,Sudeste,Instagram,5.0
2024-08-04,Smartphones,1907.19,1,Sul,Google Ads,3.5
2024-08-05,Acessórios,24.43,4,Sul,Orgânico,4.6
2024-08-06,Smartphones,1316.48,1,Sul,Google Ads,4.5
2024-08-06,Áudio,891.86,4,Sul,Google Ads,3.9
2024-08-06,Áudio,1442.31,5,Sudeste,Google Ads,4.0
2024-08-07,Áudio,1329.46,1,Sudeste,Google Ads,4.0
2024-08-07,TVs,1809.21,2,Centro-Oeste,E-mail,4.8
2024-08-08,Áudio,1211.57,3,Norte,Instagram,3.8
2024-08-08,Áudio,1263.93,3,Sudeste,Instagram,4.2
2024-08-08,Acessórios,59.47,1,Centro-Oeste,Instagram,3.9
2024-08-09,Acessórios,92.36,2,Sudeste,E-mail,4.7
2024-08-09,TVs,4992.0,2,Norte,Instagram,3.9
2024-08-10,Acessórios,137.04,1,Sudeste,Instagram,4.4
2024-08-10,Smartphones,3250.07,1,Sudeste,Google Ads,3.7
2024-08-10,Acessórios,81.82,5,Nordeste,Orgânico,3.4
2024-08-10,Notebooks,4694.75,1,Sudeste,Instagram,4.4
2024-08-10,Áudio,1222.99,5,Nordeste,Google Ads,4.0
2024-08-10,Notebooks,5213.02,2,Nordeste,Orgânico,4.7
2024-08-10,Smartphones,3055.32,2,Nordeste,Instagram,4.0
